SPAM_full_name,SPAM_short_name,SPAM_production,FAO_production,per_diff,raw_diff
NA,NA,NA,NA,NA,NA
arabica coffee,acof,4935191.807267922,9353934,0.618476210837833,-4418742.192732078
banana,bana,111250287.27793089,112627984,0.012307551904925959,-1377696.7220691144
barley,barl,167604638.15078783,145906776,0.1384183233619171,21697862.15078783
bean,bean,27245472.208321996,28370254,0.0404483360503058,-1124781.791678004
cassava,cass,294977714.7448051,288497459,0.022212618587399816,6480255.744805098
chickpea,chic,11259257.910816565,11261003,1.5497948184043208e-4,-1745.089183434844
coconut,cnut,59661503.07442263,60591793,0.015472173419706225,-930289.9255773723
cocoa,coco,4808529.667697037,4714036,0.019846262235309792,94493.66769703664
cotton,cott,68786039.26154193,67622195,0.017064134989247633,1163844.2615419328
cowpea,cowp,5600870.055259166,7147524,0.24264294593290892,-1546653.9447408337
groundnut,grou,40910941.47310523,44543755,0.08502314505413075,-3632813.5268947706
lentil,lent,5997774.86851002,6522605,0.08383613548499103,-524830.13148998
maize,maiz,1138467540.2335196,1126990588,0.01013212479232062,11476952.233519554
other cereals,ocer,79092307.92434081,73974468,0.06687068298701875,5117839.924340814
other fibre crops,ofib,5465486.2886602245,6584743,0.18576521401016716,-1119256.7113397755
oilpalm,oilp,261866441.9306013,255567218,0.024347948030463102,6299223.930601299
other oil crops,ooil,29482321.533938996,74611271,0.8670840993665776,-45128949.466061
other pulses,opul,31152188.08385127,26243199,0.17105866283921137,4908989.08385127
other roots,orts,21204489.975471243,21029624,0.008280792895184307,174865.97547124326
pigeonpea,pige,4282957.628626324,4150331,0.03145312213698713,132626.62862632424
plantain,plnt,34881738.284592785,38226508,0.09150184515127974,-3344769.715407215
pearl millet,pmil,18546791.235886566,27705316,0.3960262704315198,-9158524.764113434
potato,pota,376902317.6431437,356952488,0.05436996389404268,19949829.643143713
rapeseed,rape,71202199.15888584,68798819,0.03433375257540289,2403380.1588858366
robusta coffee,rcof,4231677.890708409,9353934,0.7540707257793591,-5122256.109291591
rest of crops,rest,42960365.14017056,67790344,0.4483940383334904,-24829978.85982944
rice,rice,755748101.610476,751885117,0.00512456818116063,3862984.610476017
sesameseed,sesa,5204819.683394188,5333616,0.024443156550978656,-128796.31660581194
small millet,smil,6588209.174971974,27705316,1.231550662539625,-21117106.825028025
sorghum,sorg,57189131.535629675,63660981,0.10710539408827212,-6471849.464370325
soybean,soyb,318088845.0439519,335613804,0.05361752467021064,-17524958.95604807
sugarbeet,sugb,308879570.5812738,278702350,0.10271664094572736,30177220.581273794
sugarcane,sugc,1920609953.8690674,1874611393,0.024240251972135817,45998560.86906743
sunflower,sunf,54038363.69452903,47402000,0.1308426636661782,6636363.694529027
sweet potato,swpo,93967245.64425151,89985843,0.04328715188850327,3981402.6442515105
tea,teas,5807190.48383696,5859841,0.009025520542389875,-52650.51616303995
temperate fruit,temf,284554463.2414122,277182881,0.026245654902531144,7371582.241412222
tobacco,toba,6604002.23719071,6361726,0.03737179011600269,242276.23719071038
tropical fruit,trof,413602869.4386093,406897281,0.01634512421484564,6705588.438609302
vegetables,vege,1064330285.4035838,1074085072,0.009123378732427623,-9754786.596416235
wheat,whea,798770998.1252311,748392149,0.06512415864977084,50378849.12523115
yams,yams,68043945.86607051,73706193,0.07989053385378818,-5662247.133929491
