total,names
2157.5339931930694,farm_land_chickens_industrial_meat_disturbance
95818567.3867208,farm_land_chickens_industrial_meat_ghg
1330160.0717735828,farm_land_chickens_industrial_meat_nutrient
1142867847.7983649,farm_land_chickens_industrial_meat_water
71.99485569540411,farm_marine_salmon_aquaculture_meat_disturbance
2618347.124885559,farm_marine_salmon_aquaculture_meat_ghg
149245.78516316414,farm_marine_salmon_aquaculture_meat_nutrient
0,farm_marine_salmon_aquaculture_meat_water
903877.5863312046,feedcrop_land_chickens_industrial_meat_disturbance
132326346.48411557,feedcrop_land_chickens_industrial_meat_ghg
1933581.4301120872,feedcrop_land_chickens_industrial_meat_nutrient
58552875050.14189,feedcrop_land_chickens_industrial_meat_water
7525.140279548837,feedcrop_marine_salmon_aquaculture_meat_disturbance
974457.6185111655,feedcrop_marine_salmon_aquaculture_meat_ghg
13288.61906812778,feedcrop_marine_salmon_aquaculture_meat_nutrient
439607656.1641548,feedcrop_marine_salmon_aquaculture_meat_water
0,feedfodd_land_chickens_industrial_meat_disturbance
0,feedfodd_land_chickens_industrial_meat_ghg
0,feedfodd_land_chickens_industrial_meat_nutrient
0,feedfodd_land_chickens_industrial_meat_water
14947.901474639984,feedfofm_land_chickens_industrial_meat_disturbance
519258.81652085786,feedfofm_land_chickens_industrial_meat_ghg
0,feedfofm_land_chickens_industrial_meat_nutrient
0,feedfofm_land_chickens_industrial_meat_water
83739.17193458359,feedfofm_marine_salmon_aquaculture_meat_disturbance
2390352.6074007493,feedfofm_marine_salmon_aquaculture_meat_ghg
0,feedfofm_marine_salmon_aquaculture_meat_nutrient
0,feedfofm_marine_salmon_aquaculture_meat_water
